"name","code","profile","size","built","renovated","feature","type","available","image","longitude","latitude"
"Carnegie Hall","CAR","Eng / CS schools","27566","1909","1982","","academic","Active","images/buildings/thumbs/CAR.jpg","-64.367325","45.088160",
"Arena & Gymnasium","AAC","","","","","","academic","inActive","images/buildings/thumbs/AAC.jpg","","",
"Patterson Hall","PAT","","","","","","academic","inActive","images/buildings/thumbs/PAT.jpg","-64.368261","45.088281",
"Rhodes Hall","RHO","Business School","11765","1912","1974","","academic","Active","images/buildings/thumbs/RHO.jpg","-64.36771","45.088555",
"Emmerson Hall","EMM","School of Education","9120","1913","1996","Hybrid hot water heater","academic","Active","images/buildings/thumbs/EMM.jpg","","",
"University Hall","UNH","Admin offices","50744","1924","1967","Efficient lighting","academic","Active","images/buildings/thumbs/UNH.jpg","-64.367034","45.089176",
"Elliott Hall","ELL","Chemistry Building","34850","1960","1989","","academic","inActive","images/buildings/thumbs/ELL.jpg","-64.368858","45.089888",
"Manning Chapel","MAN","Chapel","10818","1963","-","","academic","Active","images/buildings/thumbs/MAN.jpg","","",
"Vaughan Memorial Library","VML","Library","102330","1965","1988","Efficient lighting","academic","Active","images/buildings/thumbs/VML.jpg","-64.365242","45.089957",
"Huggins Science Hall","HSH","Science Labs/Offices","103128","1969","1993","","academic","Active","images/buildings/thumbs/HSH.jpg","-64.368826","45.089358",
"Denton Hall","HDH","School of Music","40281","1970","","","academic","inActive","images/buildings/thumbs/HDH.jpg","-64.365466","45.088652",
"Beveridge Arts Centre","BAC","Arts Classrooms","103160","1977","-","","academic","Active","images/buildings/thumbs/BAC.jpg","-64.36462","45.090358",
"Horton Hall","HOR","Psychology Dept","20752","1915","1993","","academic","Active","images/buildings/thumbs/HOR.jpg","-64.368516","45.088872",
"K.C.Irving Centre","KCI","Enviromental Center","59920","2002","-","","academic","inActive","images/buildings/thumbs/KCI.jpg","-64.368304","45.08755",
"Fountain Commons","FOU","Learning Commons ESL","26690","1926","1967","","academic","inActive","images/buildings/thumbs/FOU.jpg","-64.36611","45.087706",
"Biology Building","BIO","Biology Building,"57390","2007","-","","academic","inActive","images/buildings/thumbs/BIO.jpg","-64.368974","45.08824",
"School of Education","SM2","School of Edu.","51066","1879","1996","","academic","Active","images/buildings/thumbs/SM2.jpg","-64.366338","45.086410",
"Seminary House","SEM","Residence","","","","","residence","Active","images/buildings/thumbs/SEM.jpg","-64.366047","45.088843",
"Willett House","WIL","Offices","14431","1914","1964","","residence","Active","images/buildings/thumbs/WIL.jpg","","",
"War Memorial House","WMH","Student Residence","44440","1943","1993","","residence","inActive","images/buildings/thumbs/WMH.jpg","-64.369023","45.088656",
"Chipman House","CHI","Student Residence","34465","1960","2002","","residence","Active","images/buildings/thumbs/CHI.jpg","-64.366681","45.087100",
"Dennis House","DEN","Student Residence","36552","1962","2002","","residence","Active","images/buildings/thumbs/DEN.jpg","-64.368516","45.088872",
"Eaton House","EAT","Student Residence","25084","1965","2001","","residence","Active","images/buildings/thumbs/EAT.jpg","-64.366338","45.086410",
"Chase Court","CHA","Student Residence","82057","1968","2003","","residence","inActive","images/buildings/thumbs/CHA.jpg","-64.365595","45.086619",
"Crowell Tower","CRO","Student Residence","79600","1970","","","residence","Active","images/buildings/thumbs/CRO.jpg","-64.364664","45.084471",
"Cutten House","CUT","Student Residence","85100","1975","-","","residence","Active","images/buildings/thumbs/CUT.jpg","-64.366091","45.085686",
"Roy Jodrey Hall","RJH","Student Residence","38294","2003","-","","residence","inActive","images/buildings/thumbs/RJH.jpg","-64.366174","45.086675",
"Student's Centre","SUB","Student Centre HR","63242","1949","1991","","academic","Active","images/buildings/thumbs/SUB.jpg","-64.364405","45.08854",
"Wheelock Dining Hall","WHE","Dinning Hall","35414","1965","1999","","academic","inActive","images/buildings/thumbs/WHE.jpg","-64.364227","45.086672",
"Services Building Garage","RRG","","","","","","academic","Active","images/buildings/thumbs/RRG.jpg","-64.36578","45.084921",
